Modelo,AUC_media,AUC_DE,Brier_media,Brier_DE,DE_prediccion,Convergencia_pct,Repeticiones_validas,Estado,Replica,Prevalencia_observada,Escenario,n,p,Prevalencia,Correlacion
Elastic Net,0.8146163188002474,0.12221374595092334,0.1985191343159146,0.06524614924462077,0.1305746027794637,100.0,100,No dominado,32,0.43333333333333335,1,30,5,0.5,0.0
CART,0.6738202101800315,0.155124352536643,0.3103724700102534,0.10664700734417769,0.27461061998576536,100.0,100,Dominado,32,0.43333333333333335,1,30,5,0.5,0.0
Logit,0.7571051637029079,0.16218447632721178,0.2615111946252848,0.105854350284944,0.1865571914676045,76.0,76,No dominado,33,0.5666666666666667,1,30,5,0.5,0.0
Firth,0.7138018801965231,0.1694795637066505,0.28003565578376743,0.11040543818395984,0.17619995850326242,100.0,100,No dominado,33,0.5666666666666667,1,30,5,0.5,0.0
Elastic Net,0.6826368008314435,0.1788053003419546,0.27325941318087515,0.08890297247359542,0.1647745601690853,100.0,100,No dominado,33,0.5666666666666667,1,30,5,0.5,0.0
CART,0.47773964474678765,0.1535184905944092,0.42857879095618245,0.11890195937981679,0.31518544233914386,100.0,100,No dominado,33,0.5666666666666667,1,30,5,0.5,0.0
Logit,0.5001176978727999,0.16180840986425457,0.37099648650589334,0.10631604868906373,0.22457796198019325,98.98989898989899,98,No dominado,34,0.4666666666666667,1,30,5,0.5,0.0
Firth,0.502705207784573,0.162644224335864,0.34012926749575334,0.08676040685357382,0.18855850936456678,100.0,99,No dominado,34,0.4666666666666667,1,30,5,0.5,0.0
Elastic Net,0.5358654191193873,0.16865017071533395,0.3205176729180407,0.07857019236249503,0.16418174647926476,100.0,99,No dominado,34,0.4666666666666667,1,30,5,0.5,0.0
CART,0.49814156302251533,0.1537768037250072,0.42590852739335416,0.12027149864245813,0.31567465756592755,100.0,99,No dominado,34,0.4666666666666667,1,30,5,0.5,0.0
Logit,0.47179124824532986,0.144692352058428,0.38884832660035995,0.10229353932824961,0.22607224268841225,98.98989898989899,98,No dominado,35,0.5,1,30,5,0.5,0.0
Firth,0.4654051760996205,0.1480958986043938,0.3572694144821054,0.08667492736899668,0.19149578133521244,100.0,99,No dominado,35,0.5,1,30,5,0.5,0.0
Elastic Net,0.47667348084014755,0.1526853467893963,0.3438762071748638,0.07628177404250255,0.17648521935022513,100.0,99,No dominado,35,0.5,1,30,5,0.5,0.0
CART,0.5729627625460959,0.1742320671473016,0.38584499886418916,0.13679856715363428,0.3248313851912196,100.0,99,No dominado,35,0.5,1,30,5,0.5,0.0
Logit,0.6627701893622946,0.1792743756240404,0.3051955169083327,0.10386614168122921,0.20250878148889542,95.0,95,Dominado,36,0.5333333333333333,1,30,5,0.5,0.0
Firth,0.6536083994708994,0.18954727004989064,0.2808800305229296,0.08718818783257687,0.17109183137193618,100.0,100,Dominado,36,0.5333333333333333,1,30,5,0.5,0.0
Elastic Net,0.6742681878306876,0.17387554512869388,0.26341303639105584,0.06360955566995774,0.1481828122259169,100.0,100,No dominado,36,0.5333333333333333,1,30,5,0.5,0.0
CART,0.4621974867724868,0.13530720461477636,0.43768052161079596,0.11003690574720056,0.3225711391953718,100.0,100,No dominado,36,0.5333333333333333,1,30,5,0.5,0.0
Logit,0.5874807661159702,0.18286925003443688,0.3415077359913446,0.11422982108917633,0.22377611446383489,98.0,98,No dominado,37,0.4666666666666667,1,30,5,0.5,0.0
Firth,0.5812762566137567,0.18040343535223913,0.3178235279892936,0.10039097194492705,0.19119178638412718,100.0,100,No dominado,37,0.4666666666666667,1,30,5,0.5,0.0
Elastic Net,0.5894291666666668,0.18527245816886223,0.2988148992349393,0.08084846971299846,0.1650151591589739,100.0,100,No dominado,37,0.4666666666666667,1,30,5,0.5,0.0
CART,0.5938383928571428,0.17741523904928277,0.37442502527787286,0.12580613117965675,0.30257396325428243,100.0,100,No dominado,37,0.4666666666666667,1,30,5,0.5,0.0
Logit,0.5713786025582562,0.16953346985324252,0.36302512335180986,0.1179532462098948,0.23121901190868113,99.0,99,Dominado,38,0.5333333333333333,1,30,5,0.5,0.0
Firth,0.5697677308802309,0.1657707394570385,0.3318227155967556,0.10086454984237513,0.19620555918638546,100.0,100,Dominado,38,0.5333333333333333,1,30,5,0.5,0.0
Elastic Net,0.5765898912595341,0.16039718799159094,0.31072856079584776,0.08315060232665684,0.1745113028360153,100.0,100,No dominado,38,0.5333333333333333,1,30,5,0.5,0.0
